Date,Author,Site Name,Site Url,Price,Shipping Cost,Shipping Code,Shipping Type,Shipping Url,Store PickUp,Store PickUp url,Return,Exchange,Return/Exchange Url,Delivery Time,Price match,Price Gurantee,Price March/Guarantee Url,Coupon Code,Coupon code Url,Printable Coupon,Printable Coupon Url,SignUp Reward,SignUp Reward Url,Referral,Referral Url,CashBack,CashBack Url,Weekly Ad,Weekly Ad Url,Today Ad,Today Ad Url,MemberShip,MemberShip Url,Credit Card Member,Credit Card Member Url,Student Discount,Student Discount Url,Youth Discount,Youth Discount Url,Military Discount,Military Discount Url,Worker Discount,Worker Discount Url,App Download,App Download Url,New Arrivals,New Arrivals Url,Clearance,Clearance Url,Sale,Sale Url,Deal,Deal Url,BOGO,BOGO url,Gift Product,Gift Product Url,Gift Card/Voucher,Gift Card/Voucher Url,,,Gift card/voucher,Gift card/voucher Url,pre-order/back order (not related),pre-order/back order url,Rewards (no need),Reward Url,Military discount,Military discount url,youth discount,youth discount url,worker Discount,worker Discount url
12/5/2022,usama,free people,https://www.freepeople.com,above 100/under 100,free/7.95,,Standard,https://www.freepeople.com/help/shipping-information/,yes,https://www.freepeople.com/help/in-store-pickup/,30 days,no,https://www.freepeople.com/help/returns-exchanges/?_gl=1%2a11d6kgx%2a_up%2aMQ..,5-8 business days,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.freepeople.com/help/current-promotions/,yes,https://www.freepeople.com/whats-new/?_gl=1%2a1thaqls%2a_up%2aMQ..,no,,yes,https://www.freepeople.com/sale-all/?_gl=1%2a1thaqls%2a_up%2aMQ..,no,,no,,yes,https://www.freepeople.com/valentines-day-gifts-under-25/?_gl=1%2a1ubqn0t%2a_up%2aMQ..,yes,https://www.freepeople.com/fp-gift-cards/?_gl=1%2a1ubqn0t%2a_up%2aMQ..,,,yes,https://www.freepeople.com/fp-gift-cards/,,,,,,,,,,
12/5/2022,usama,Ann Taylor,https://www.anntaylor.com/,above 150/under 150,free/8.95,,Standard,https://www.anntaylor.com/customer-service#tab-shipping-options,yes,https://www.anntaylor.com/buy-online-pick-up-in-store/cat3590008,30 days,free exchange,https://www.anntaylor.com/customer-service#returns-and-exchanges,4-7 business days,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,15% off first purchase,https://www.anntaylor.com/all-rewards/cat4490007,no,,no,,no,,no,,no,,yes,https://www.anntaylor.com/new-arrivals/cata00008,no,,yes,https://www.anntaylor.com/sale-view-all/cata000055,no,,no,,yes,https://www.anntaylor.com/gift-guide/cat4730013,yes,https://www.anntaylor.com/gift-cards,,,yes,https://www.anntaylor.com/gift-cards,,,,,,,,,,
13/5/2022,usama,Waverly,https://www.waverlyboutique.com/,above 100/under 100,free/8.50,,Standard,https://www.waverlyboutique.com/pages/shipping-returns,yes,https://www.waverlyboutique.com/checkouts/c/b954799fe6167348b7eb9e2e9a31949e/information,10 days,10 days,https://www.waverlyboutique.com/pages/shipping-returns,1-7 days,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.waverlyboutique.com/collections/frontpage,no,,yes,https://www.waverlyboutique.com/collections/sale,no,,no,,yes,https://www.waverlyboutique.com/collections/gifts,no,,,,yes,https://www.waverlyboutique.com/products/gift-card,,,,,,,,,,
13/5/2022,usama,Chaser,https://www.chaserbrand.com/,above 75/under 75,free/5,,FedEx,https://www.chaserbrand.com/pages/shipping-policy,no,,60 days,no,https://www.chaserbrand.com/pages/returns-exchange-policy,5-10 days,no,no,,no,,no,,20% off,https://www.chaserbrand.com/,"Give $20, Get $40 on first order",https://www.chaserbrand.com/pages/refer,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.chaserbrand.com/collections/new-arrivals,no,,no,,no,,no,,no,,yes,https://www.chaserbrand.com/products/chaser-gift-card,,,yes,https://www.chaserbrand.com/products/chaser-gift-card,,,,,,,,,,
13/5/2022,usama,Classy Crossroads,https://www.classycrossroads.com/,above 100/under 100,free/5,,Standard,https://www.classycrossroads.com/return-policy,no,,7 days,7 days,https://www.classycrossroads.com/return-policy,5-7 days,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://play.google.com/store/apps/details?id=com.crossroads.classy,no,,no,,no,,no,,no,,no,,yes,https://www.classycrossroads.com/gift-certificates.html,,,yes,https://www.classycrossroads.com/gift-certificates.html,,,,,,,,,,
13/5/2022,usama,Flynn Skye,https://flynnskye.com/,above 100/under 100,7.95,,Standard,https://flynnskye.com/pages/return-policy,no,,10 days,free exchange,https://flynnskye.com/pages/return-policy,6-8 days,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://flynnskye.com/collections/new,no,,yes,https://flynnskye.com/collections/sale,no,,no,,no,,no,,,,no,,,,,,,,,,,
13/5/2022,usama,Gypsy Beach,https://www.gypsybeach.com/,above 100 - under 550/under 100 - above 550,free/5-25,,Standard,https://www.gypsybeach.com/pages/shipping,no,,7 days/$5,free exchange,https://www.gypsybeach.com/pages/return-exchanges,2-9 business,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.gypsybeach.com/collections/new-arrivals,no,,yes,https://www.gypsybeach.com/collections/sale,no,,no,,no,,yes,https://www.gypsybeach.com/products/gift-card,,,yes,https://www.gypsybeach.com/products/gift-card,,,,,,,,,,
13/5/2022,usama,Wildfox,https://www.wildfox.com/,above 100/under 100,free/9.95,,Standard,https://www.wildfox.com/pages/shipping-info,no,,30 days,free exchange,https://www.wildfox.com/pages/returns-exchange,3-8 days,no,no,,no,,no,,20% off,https://www.wildfox.com,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.wildfox.com/collections/new-arrivals,no,,yes,https://www.wildfox.com/collections/sale,no,,no,,no,,yes,https://www.wildfox.com/products/gift-card,,,,,,,,,,,,,,
13/5/2022,usama,The Girl and The Water,https://www.thegirlandthewater.com/,above 100/under 100,free,,USPS,https://www.thegirlandthewater.com/pages/shipping,no,,30 days,free exchange,https://www.thegirlandthewater.com/pages/returnpolicy,5 business days,no,no,,no,,no,,15% on first order,https://www.thegirlandthewater.com,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.thegirlandthewater.com/collections/new-arrivals,no,,yes,https://www.thegirlandthewater.com/collections/sale,no,,no,,no,,yes,https://www.thegirlandthewater.com/collections/gift-cards,,,,,,,,,,,,,,
13/5/2022,usama,Current Elliott,https://www.currentelliott.com/,,free,,UPS,https://www.currentelliott.com/pages/customer-care,no,,30 days,no,https://www.currentelliott.com/policies/refund-policy,,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,,,no,,no,,no,,no,,yes,https://www.currentelliott.com/collections/new-arrivals,no,,yes,https://www.currentelliott.com/collections/sale,no,,no,,no,,no,,,,,,,,,,,,,,,
